snippet_id,version,mode,return_code,parse_ok,error
so_10195366_block_2,before,RAW,0,True,
so_10599247_block_2,before,RAW,0,True,
so_10967469_block_2,before,RAW,0,True,
so_11838438_block_2,before,RAW,0,True,
so_12738229_block_2,before,RAW,0,True,
so_13462440_block_6,before,RAW,0,True,
so_13558161_block_6,before,RAW,0,True,
so_13956092_block_2,before,RAW,0,True,
so_14676464_block_2,before,RAW,0,True,
so_15160629_block_2,before,RAW,254,False,"no element found: line 1, column 0"
so_16114563_block_2,before,RAW,0,True,
so_16799135_block_10,before,RAW,0,True,
so_18454342_block_2,before,RAW,254,False,"no element found: line 1, column 0"
so_189739_block_2,before,RAW,0,True,
so_19340685_block_2,before,RAW,0,True,
so_2001205_block_2,before,RAW,0,True,
so_20274776_block_2,before,RAW,0,True,
so_20276324_block_2,before,RAW,0,True,
so_20680556_block_2,before,RAW,0,True,
so_20765715_block_2,before,RAW,0,True,
so_2086792_block_2,before,RAW,0,True,
so_21178275_block_2,before,RAW,0,True,
so_2180534_block_2,before,RAW,0,True,
so_2275596_block_2,before,RAW,0,True,
so_22968559_block_2,before,RAW,0,True,
so_2325407_block_2,before,RAW,0,True,
so_23839705_block_2,before,RAW,254,False,"no element found: line 1, column 0"
so_23916259_block_2,before,RAW,254,False,"no element found: line 1, column 0"
so_24127188_block_2,before,RAW,0,True,
so_25985720_block_14,before,RAW,254,False,"no element found: line 1, column 0"
so_26046107_block_2,before,RAW,254,False,"no element found: line 1, column 0"
so_27436796_block_2,before,RAW,0,True,
so_27437289_block_16,before,RAW,0,True,
so_27469652_block_4,before,RAW,254,False,"no element found: line 1, column 0"
so_28329032_block_6,before,RAW,254,False,"no element found: line 1, column 0"
so_28458368_block_4,before,RAW,0,True,
so_28901180_block_2,before,RAW,0,True,
so_29226591_block_2,before,RAW,0,True,
so_29230939_block_4,before,RAW,0,True,
so_29330741_block_6,before,RAW,0,True,
so_29548090_block_4,before,RAW,0,True,
so_29575747_block_2,before,RAW,0,True,
so_29866762_block_2,before,RAW,0,True,
so_30952083_block_2,before,RAW,0,True,
so_31868761_block_4,before,RAW,0,True,
so_32164598_block_8,before,RAW,0,True,
so_32855556_block_4,before,RAW,0,True,
so_33085670_block_2,before,RAW,0,True,
so_33270545_block_2,before,RAW,0,True,
so_33561612_block_2,before,RAW,0,True,
so_33943576_block_2,before,RAW,0,True,
so_34174309_block_2,before,RAW,0,True,
so_34590765_block_2,before,RAW,0,True,
so_34717151_block_6,before,RAW,254,False,"no element found: line 1, column 0"
so_35094888_block_2,before,RAW,254,False,"no element found: line 1, column 0"
so_3519182_block_2,before,RAW,0,True,
so_359634_block_2,before,RAW,0,True,
so_36789749_block_6,before,RAW,0,True,
so_36805363_block_2,before,RAW,0,True,
so_36950444_block_6,before,RAW,0,True,
so_3775893_block_6,before,RAW,0,True,
so_37957745_block_2,before,RAW,0,True,
so_38367701_block_2,before,RAW,254,False,"no element found: line 1, column 0"
so_3870210_block_4,before,RAW,0,True,
so_40056844_block_2,before,RAW,0,True,
so_40317313_block_6,before,RAW,0,True,
so_41225553_block_2,before,RAW,254,False,"no element found: line 1, column 0"
so_41251473_block_6,before,RAW,0,True,
so_41471859_block_4,before,RAW,0,True,
so_41588054_block_2,before,RAW,0,True,
so_41751396_block_8,before,RAW,254,False,"no element found: line 1, column 0"
so_41800354_block_2,before,RAW,0,True,
so_42681543_block_4,before,RAW,254,False,"no element found: line 1, column 0"
so_4429257_block_2,before,RAW,0,True,
so_453067_block_2,before,RAW,0,True,
so_45774144_block_4,before,RAW,254,False,"no element found: line 1, column 0"
so_46830988_block_4,before,RAW,0,True,
so_46887834_block_2,before,RAW,254,False,"no element found: line 1, column 0"
so_47622507_block_4,before,RAW,0,True,
